Time,eeeee,vell
33.612,1457,139.2
33.644,1360,139.2
33.724,1569,139.2
33.773,1473,139.3
33.815,1569,139.3
33.846,1473,139.2
33.943,1569,139.3
33.982,1488,139.2
34.021,1568,139.2
34.06,1489,139.2
34.104,1568,139.2
34.189,1504,139.3
34.23,1472,137.6
34.272,1584,139.3
34.304,1473,139.3
34.375,1585,139.3
34.417,1456,139.2
34.457,1584,139.3
34.542,1457,139.2
34.593,1585,139.3
34.629,1456,139.3
34.664,1473,139.3
34.758,1457,139.3
34.808,1360,139.3
34.848,1360,139.3
34.887,1456,139.3
34.926,1360,139.2
34.976,1456,139.2
35.031,1360,140.9
35.088,1457,140.9
35.127,1361,139.2
35.169,1456,139.2
35.267,1456,139.3
35.31,1456,139.3
35.345,1376,139.2
35.375,1456,139.3
35.45,1377,139.3
35.494,1457,139.2
35.539,1393,139.3
35.58,1552,139.2
35.647,1488,139.3
35.679,1552,139.3
35.761,1489,139.2
35.798,1552,139.3
35.835,1504,140.9
35.906,1552,139.3
35.965,1505,139.3
36.014,1537,139.2
36.049,1520,139.3
36.088,1552,139.3
36.197,1425,139.3
36.243,1472,139.2
36.285,1472,139.2
36.325,1360,139.2
36.361,1473,139.2
36.395,1361,139.2
36.5,1360,137.6
36.547,1457,139.2
36.593,1457,139.2
36.629,1361,139.3
36.665,1457,139.3
36.698,1360,139.3
36.797,1456,139.2
36.845,1360,139.2
36.88,1456,139.3
36.911,1376,139.3
36.979,1456,139.3
37.01,1377,139.3
37.088,1457,139.2
37.125,1377,139.2
37.164,1441,139.2
